period,series,region,index_value,indexed_to_2012_base,raw_value,unit,source_tier,source_url,source_retrieved_at
2017-Q1,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),147.3,146.1,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2017-Q2,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),136.1,135,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2017-Q2,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),146.5,145.3,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2017-Q2,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),150.1,148.9,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2017-Q3,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),135,133.9,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2017-Q3,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),146.2,145,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2017-Q3,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),150.1,148.9,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2017-Q4,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),135.8,134.7,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2017-Q4,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),147.6,146.4,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2017-Q4,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),151.8,150.6,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2017-S1,"Average weekly total earnings, all employees",Australia,,111.9,1179,AUD per week,primary,"https://data.api.abs.gov.au/rest/data/ABS,AWE,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2017-S2,"Average weekly total earnings, all employees",Australia,,113.1,1191.5,AUD per week,primary,"https://data.api.abs.gov.au/rest/data/ABS,AWE,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2018-Q1,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),134.9,133.8,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2018-Q1,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),146.6,145.4,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2018-Q1,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),150.6,149.4,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2018-Q2,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),133.9,132.8,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2018-Q2,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),145.6,144.4,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2018-Q2,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),149.7,148.5,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2018-Q3,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),132.6,131.5,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2018-Q3,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),143.4,142.3,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2018-Q3,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),147.2,146,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2018-Q4,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),130.1,129.1,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2018-Q4,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),140,138.9,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2018-Q4,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),143.4,142.3,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2018-S1,"Average weekly total earnings, all employees",Australia,,114.6,1207.4,AUD per week,primary,"https://data.api.abs.gov.au/rest/data/ABS,AWE,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2018-S2,"Average weekly total earnings, all employees",Australia,,116.3,1225.3,AUD per week,primary,"https://data.api.abs.gov.au/rest/data/ABS,AWE,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2019-Q1,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),126.2,125.2,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2019-Q1,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),135.8,134.7,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2019-Q1,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),139,137.9,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2019-Q2,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),125.2,124.2,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2019-Q2,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),134.8,133.7,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2019-Q2,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),138.1,137,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2019-Q3,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),128.3,127.3,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2019-Q3,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),138.1,137,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2019-Q3,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),141.5,140.4,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2019-Q4,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),132.6,131.5,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2019-Q4,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),143.5,142.4,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2019-Q4,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),147.4,146.2,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2019-S1,"Average weekly total earnings, all employees",Australia,,117.5,1237.9,AUD per week,primary,"https://data.api.abs.gov.au/rest/data/ABS,AWE,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2019-S2,"Average weekly total earnings, all employees",Australia,,119.4,1257,AUD per week,primary,"https://data.api.abs.gov.au/rest/data/ABS,AWE,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2020-Q1,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),133.5,132.4,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2020-Q1,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),145.8,144.6,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2020-Q1,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),150.3,149.1,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
