year,country_iso3,country_name,country_role,indicator,indicator_code,value,measure_note,source_tier,source_url,source_retrieved_at
2000,GBR,United Kingdom,reference,migrant_stock,SM.POP.TOTL,4747902,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/GBR/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2005,GBR,United Kingdom,reference,migrant_stock,SM.POP.TOTL,5989992,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/GBR/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2010,GBR,United Kingdom,reference,migrant_stock,SM.POP.TOTL,7713303,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/GBR/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2015,GBR,United Kingdom,reference,migrant_stock,SM.POP.TOTL,9071431,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/GBR/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2020,GBR,United Kingdom,reference,migrant_stock,SM.POP.TOTL,10520870,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/GBR/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2024,GBR,United Kingdom,reference,migrant_stock,SM.POP.TOTL,11845479,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/GBR/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
1995,IDN,Indonesia,origin,migrant_stock,SM.POP.TOTL,114419,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/IDN/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2000,IDN,Indonesia,origin,migrant_stock,SM.POP.TOTL,287645,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/IDN/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2005,IDN,Indonesia,origin,migrant_stock,SM.POP.TOTL,87508,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/IDN/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2010,IDN,Indonesia,origin,migrant_stock,SM.POP.TOTL,113288,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/IDN/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2015,IDN,Indonesia,origin,migrant_stock,SM.POP.TOTL,192119,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/IDN/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2020,IDN,Indonesia,origin,migrant_stock,SM.POP.TOTL,306702,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/IDN/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2024,IDN,Indonesia,origin,migrant_stock,SM.POP.TOTL,445726,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/IDN/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
1995,IND,India,origin,migrant_stock,SM.POP.TOTL,6836861,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/IND/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2000,IND,India,origin,migrant_stock,SM.POP.TOTL,6391543,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/IND/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2005,IND,India,origin,migrant_stock,SM.POP.TOTL,5954999,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/IND/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2010,IND,India,origin,migrant_stock,SM.POP.TOTL,5601237,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/IND/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2015,IND,India,origin,migrant_stock,SM.POP.TOTL,5252296,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/IND/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2020,IND,India,origin,migrant_stock,SM.POP.TOTL,4929816,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/IND/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2024,IND,India,origin,migrant_stock,SM.POP.TOTL,4796255,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/IND/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
1995,IRN,"Iran, Islamic Rep.",origin,migrant_stock,SM.POP.TOTL,2937668,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/IRN/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2000,IRN,"Iran, Islamic Rep.",origin,migrant_stock,SM.POP.TOTL,2476469,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/IRN/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2005,IRN,"Iran, Islamic Rep.",origin,migrant_stock,SM.POP.TOTL,2552206,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/IRN/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2010,IRN,"Iran, Islamic Rep.",origin,migrant_stock,SM.POP.TOTL,2722397,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/IRN/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2015,IRN,"Iran, Islamic Rep.",origin,migrant_stock,SM.POP.TOTL,2729939,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/IRN/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2020,IRN,"Iran, Islamic Rep.",origin,migrant_stock,SM.POP.TOTL,2797235,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/IRN/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2024,IRN,"Iran, Islamic Rep.",origin,migrant_stock,SM.POP.TOTL,3840654,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/IRN/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
1995,IRQ,Iraq,origin,migrant_stock,SM.POP.TOTL,199460,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/IRQ/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2000,IRQ,Iraq,origin,migrant_stock,SM.POP.TOTL,210525,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/IRQ/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2005,IRQ,Iraq,origin,migrant_stock,SM.POP.TOTL,134863,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/IRQ/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2010,IRQ,Iraq,origin,migrant_stock,SM.POP.TOTL,120466,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/IRQ/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2015,IRQ,Iraq,origin,migrant_stock,SM.POP.TOTL,359352,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/IRQ/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2020,IRQ,Iraq,origin,migrant_stock,SM.POP.TOTL,365766,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/IRQ/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2024,IRQ,Iraq,origin,migrant_stock,SM.POP.TOTL,370980,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/IRQ/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
1995,KEN,Kenya,origin,migrant_stock,SM.POP.TOTL,618745,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/KEN/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2000,KEN,Kenya,origin,migrant_stock,SM.POP.TOTL,707852,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/KEN/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2005,KEN,Kenya,origin,migrant_stock,SM.POP.TOTL,773354,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/KEN/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
