period,household_type,household_type_code,index_group,index_number,source_tier,source_url,source_retrieved_at
2013-Q4,Pensioner and beneficiary households,PBLCI,All groups,72.03,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2014-Q1,Employee households,P1,All groups,73,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2014-Q1,Age pensioner households,P2,All groups,73.59,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2014-Q1,Other government transfer recipient households,P3,All groups,71.92,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2014-Q1,Self-funded retiree households,P4,All groups,74,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2014-Q1,Pensioner and beneficiary households,PBLCI,All groups,72.76,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2014-Q2,Employee households,P1,All groups,73.28,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2014-Q2,Age pensioner households,P2,All groups,73.88,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2014-Q2,Other government transfer recipient households,P3,All groups,72.19,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2014-Q2,Self-funded retiree households,P4,All groups,74.33,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2014-Q2,Pensioner and beneficiary households,PBLCI,All groups,73.04,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2014-Q3,Employee households,P1,All groups,73.59,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2014-Q3,Age pensioner households,P2,All groups,73.99,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2014-Q3,Other government transfer recipient households,P3,All groups,72.39,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2014-Q3,Self-funded retiree households,P4,All groups,74.68,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2014-Q3,Pensioner and beneficiary households,PBLCI,All groups,73.18,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2014-Q4,Employee households,P1,All groups,73.66,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2014-Q4,Age pensioner households,P2,All groups,73.87,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2014-Q4,Other government transfer recipient households,P3,All groups,72.52,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2014-Q4,Self-funded retiree households,P4,All groups,74.88,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2014-Q4,Pensioner and beneficiary households,PBLCI,All groups,73.21,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2015-Q1,Employee households,P1,All groups,73.7,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2015-Q1,Age pensioner households,P2,All groups,74.17,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2015-Q1,Other government transfer recipient households,P3,All groups,72.67,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2015-Q1,Self-funded retiree households,P4,All groups,74.93,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2015-Q1,Pensioner and beneficiary households,PBLCI,All groups,73.41,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
